module,modinfo_name,path,subsystem,in_modules_load,source_built_override,n_versions,n_kmi_pure,n_kmi_extended,n_vendor_internal_resolved,n_vendor_internal_missing,n_crc_mismatch,module_layout_status,verdict,secondary_verdict,sample_failing
oplus_bsp_memleak_detect,oplus_bsp_memleak_detect,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_memleak_detect.ko,misc,0,0,80,0,0,0,0,80,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__warn_printk=crc(1127e91b!=56470118);_printk=crc(16b5b21d!=92997ed8);_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);memcpy=crc(8a7493b2!=4829a47e);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);__alloc_pages_noprof=crc(4a725814!=a0469683);kasan_flag_enabled=crc(8ee1928d!=a6f6226c)
oplus_bsp_midas,oplus_bsp_midas,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_midas.ko,misc,0,0,58,0,0,0,0,58,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,strncpy=crc(11ce17c6!=9166fada);_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);__rcu_read_lock=crc(d272d446!=8d522714);__rcu_read_unlock=crc(d272d446!=2469810f);overflowuid=crc(7ec472ba!=8b618d08);strnlen=crc(b5bedffb!=a916b694);strcmp=crc(f5df0401!=e2d5255a)
oplus_bsp_mm_osvelte,oplus_bsp_mm_osvelte,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_mm_osvelte.ko,mm,0,0,106,0,0,0,0,106,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,down_write=crc(512802b6!=28ed2847);up_write=crc(512802b6!=20d81059);down_read=crc(512802b6!=3355da1c);up_read=crc(512802b6!=6b50e951);__arch_copy_from_user=crc(1f42c609!=2be0c009);_printk=crc(16b5b21d!=92997ed8);alt_cb_patch_nops=crc(b8c8345a!=a65c6def);__stack_chk_fail=crc(d272d446!=f0fdf6cb)
oplus_bsp_pcppages_opt,oplus_bsp_pcppages_opt,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_pcppages_opt.ko,misc,0,0,6,0,0,0,0,6,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__tracepoint_android_vh_drain_all_pages_bypass=crc(7c5aa8a7!=a259c59e);tracepoint_probe_register=crc(15cb871d!=805e2dd2);__tracepoint_android_vh_rmqueue_pcplist_override_batch=crc(7c5aa8a7!=5940d7bf);_printk=crc(16b5b21d!=92997ed8);tracepoint_probe_unregister=crc(15cb871d!=7aba1ef6);module_layout=crc(e976b219!=21d0f8b0)
oplus_bsp_proactive_compact,oplus_bsp_proactive_compact,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_proactive_compact.ko,misc,0,0,17,0,0,0,0,17,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);proc_remove=crc(36e26e87!=44033864);proc_mkdir=crc(17dad4e0!=7518b5f0);proc_create=crc(bcb84f5d!=b4028d67);contig_page_data=crc(c9965b9f!=69230943);scnprintf=crc(f4386284!=96848186);__check_object_size=crc(5c76e3f3!=88db9f48);__arch_copy_to_user=crc(1f42c609!=9a85eebb)
oplus_bsp_sched_assist,oplus_bsp_sched_assist,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_sched_assist.ko,misc,0,0,152,0,0,0,0,152,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,trace_event_buffer_reserve=crc(40964d00!=29eba14a);nr_cpu_ids=crc(f296206e!=017de3d5);scnprintf=crc(f4386284!=96848186);strlen=crc(90d19584!=98cf60b3);memcpy=crc(8a7493b2!=4829a47e);trace_event_buffer_commit=crc(ffe3783c!=2fc1082e);__trace_trigger_soft_disabled=crc(cb5e01d7!=0fd10466);__stack_chk_fail=crc(d272d446!=f0fdf6cb)
oplus_bsp_sched_ext,oplus_bsp_sched_ext,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_sched_ext.ko,misc,0,0,187,0,0,0,4,183,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,trace_event_buffer_reserve=crc(40964d00!=29eba14a);trace_event_buffer_commit=crc(ffe3783c!=2fc1082e);__trace_trigger_soft_disabled=crc(cb5e01d7!=0fd10466);__stack_chk_fail=crc(d272d446!=f0fdf6cb);perf_trace_buf_alloc=crc(231ad1b8!=2d2c902f);perf_trace_run_bpf_submit=crc(2a290ade!=c61f330d);bpf_trace_run1=crc(bcae9d73!=e80494d6);jiffies=crc(f2a4b08a!=15ba50a6)
oplus_bsp_schedinfo,oplus_bsp_schedinfo,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_schedinfo.ko,misc,0,0,147,0,0,0,10,137,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__tracepoint_android_vh_irqtime_account_process_tick=crc(7c5aa8a7!=78696e76);tracepoint_probe_unregister=crc(15cb871d!=7aba1ef6);__tracepoint_android_vh_cpufreq_fast_switch=crc(7c5aa8a7!=c0ef2c34);remove_proc_entry=crc(1b68847f!=330c0b0f);proc_mkdir=crc(17dad4e0!=7518b5f0);tracepoint_probe_register=crc(15cb871d!=805e2dd2);_printk=crc(16b5b21d!=92997ed8);__rcu_read_lock=crc(d272d446!=8d522714)
oplus_bsp_sigkill_diagnosis,oplus_bsp_sigkill_diagnosis,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_sigkill_diagnosis.ko,misc,0,0,21,0,0,0,0,21,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=efe8a82e);__kmalloc_cache_noprof=crc(6cc46e45!=e17134b6);proc_mkdir=crc(17dad4e0!=7518b5f0);proc_create=crc(bcb84f5d!=b4028d67);__tracepoint_android_vh_do_send_sig_info=crc(7c5aa8a7!=5ad6ee9f);tracepoint_probe_register=crc(15cb871d!=805e2dd2);_printk=crc(16b5b21d!=92997ed8)
oplus_bsp_storage_io_metrics,oplus_bsp_storage_io_metrics,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_storage_io_metrics.ko,misc,0,0,39,0,0,0,0,39,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,alt_cb_patch_nops=crc(b8c8345a!=a65c6def);ktime_get=crc(ff9a6e5c!=b43f9365);blk_fill_rwbs=crc(f3116ec1!=2bd8a8bb);__fortify_panic=crc(31b67631!=75ca79b5);__tracepoint_block_rq_issue=crc(7c5aa8a7!=f6694ef9);tracepoint_probe_register=crc(15cb871d!=805e2dd2);__tracepoint_block_rq_complete=crc(7c5aa8a7!=171047ce);__tracepoint_block_getrq=crc(7c5aa8a7!=e481d04e)
oplus_bsp_synaptics_tcm2,oplus_bsp_synaptics_tcm2,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_synaptics_tcm2.ko,misc,1,0,181,0,0,0,7,174,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,trace_event_buffer_reserve=crc(40964d00!=29eba14a);memcpy=crc(8a7493b2!=4829a47e);trace_event_buffer_commit=crc(ffe3783c!=2fc1082e);__trace_trigger_soft_disabled=crc(cb5e01d7!=0fd10466);__stack_chk_fail=crc(d272d446!=f0fdf6cb);perf_trace_buf_alloc=crc(231ad1b8!=2d2c902f);perf_trace_run_bpf_submit=crc(2a290ade!=c61f330d);bpf_trace_run4=crc(1c4f6ddb!=1c7a01a8)
oplus_bsp_task_cpustats,oplus_bsp_task_cpustats,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_task_cpustats.ko,misc,0,0,31,0,0,0,0,31,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__tracepoint_android_vh_account_task_time=crc(7c5aa8a7!=3ff79730);tracepoint_probe_register=crc(15cb871d!=805e2dd2);proc_mkdir=crc(17dad4e0!=7518b5f0);proc_create=crc(bcb84f5d!=b4028d67);_printk=crc(16b5b21d!=92997ed8);remove_proc_entry=crc(1b68847f!=330c0b0f);tracepoint_probe_unregister=crc(15cb871d!=7aba1ef6);nsecs_to_jiffies=crc(542b4a64!=ffae8e8b)
oplus_bsp_task_load,oplus_bsp_task_load,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_task_load.ko,misc,0,0,32,0,0,0,1,31,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__tracepoint_sched_switch=crc(7c5aa8a7!=dfe3cd88);tracepoint_probe_register=crc(15cb871d!=805e2dd2);__tracepoint_android_vh_scheduler_tick=crc(7c5aa8a7!=08c73112);__tracepoint_task_rename=crc(7c5aa8a7!=819c175f);_printk=crc(16b5b21d!=92997ed8);__per_cpu_offset=crc(0de4cab5!=280f9f14);runqueues=crc(c26d8604!=ee46e386);walt_rq=missing
oplus_bsp_task_overload,oplus_bsp_task_overload,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_task_overload.ko,misc,0,0,37,0,0,0,3,34,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,oplus_capacity_orig_of=missing;__cpu_possible_mask=crc(4e994f70!=de7ece30);cpu_topology=crc(545a6fb7!=e4bc4b09);cpufreq_quick_get=crc(ecfe08b6!=7c46233a);cpufreq_quick_get_max=crc(ecfe08b6!=33f0768c);is_fbg_task=missing;__rcu_read_lock=crc(d272d446!=8d522714);__rcu_read_unlock=crc(d272d446!=2469810f)
oplus_bsp_task_sched,oplus_bsp_task_sched,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_task_sched.ko,misc,0,0,71,0,0,0,1,70,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=efe8a82e);__kmalloc_cache_noprof=crc(6cc46e45!=e17134b6);strncpy=crc(11ce17c6!=9166fada);strcmp=crc(f5df0401!=e2d5255a);_printk=crc(16b5b21d!=92997ed8)
oplus_bsp_tp_common,oplus_bsp_tp_common,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_tp_common.ko,touch,1,0,165,0,0,0,13,152,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=efe8a82e);__kmalloc_cache_noprof=crc(6cc46e45!=e17134b6);_raw_spin_lock_irqsave=crc(aa615763!=34db050b);memset=crc(110f4d3a!=dcb764ad);memcpy=crc(8a7493b2!=4829a47e);ktime_get=crc(ff9a6e5c!=b43f9365);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70)
oplus_bsp_tp_custom,oplus_bsp_tp_custom,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_tp_custom.ko,touch,1,0,14,0,0,0,1,13,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,_printk=crc(16b5b21d!=92997ed8);strstr=crc(719e716c!=1e6d26a8);get_project=missing;mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=efe8a82e);__kmalloc_cache_noprof=crc(6cc46e45!=e17134b6);strlen=crc(90d19584!=98cf60b3);memcpy=crc(8a7493b2!=4829a47e)
