module,modinfo_name,path,subsystem,in_modules_load,source_built_override,n_versions,n_kmi_pure,n_kmi_extended,n_vendor_internal_resolved,n_vendor_internal_missing,n_crc_mismatch,module_layout_status,verdict,secondary_verdict,sample_failing
camcc-canoe,camcc_canoe,device/oneplus/infiniti-kernel/camcc-canoe.ko,misc,0,0,29,0,0,0,0,29,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);qcom_cc_map=crc(60e78d81!=24dcedd6);qcom_cc_runtime_init=crc(40df0093!=b1f1f487);__pm_runtime_resume=crc(cc47d0a5!=0f14191c);clk_lucid_evo_pll_configure=crc(0d118103!=e9ea1362);regmap_update_bits_base=crc(807ee877!=1ac5d5d4);regmap_write=crc(8b1835dc!=eab872a6)
camera,camera,device/oneplus/infiniti-kernel/camera.ko,camera,1,0,419,0,0,0,18,401,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_raw_spin_lock_bh=crc(7c62d7bb!=0c3690fc);_raw_spin_unlock_bh=crc(7c62d7bb!=e46021ca);mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd);__stack_chk_fail=crc(d272d446!=f0fdf6cb);kvfree=crc(3702a4be!=7aa1756e);__list_del_entry_valid_or_report=crc(802f8919!=9a835040);complete=crc(7da92691!=a6257a2f)
camera_extension,camera_extension,device/oneplus/infiniti-kernel/camera_extension.ko,camera,1,0,188,0,0,0,50,138,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,devm_kmalloc=crc(d1263f9d!=9601551a);__mutex_init=crc(81d49dc6!=a571f6b0);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);__kmalloc_large_noprof=crc(27865ec7!=441d0de9);devm_kfree=crc(963fe25e!=36aa809e);kernel_kobj=crc(45e1f39a!=253f9cbc);kobject_create_and_add=crc(3e531720!=a8be50c3);sysfs_create_groups=crc(fee2e9dc!=0efa5201)
cdsprm,cdsprm,device/oneplus/infiniti-kernel/cdsprm.ko,misc,1,0,66,0,0,0,0,66,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);rpmsg_send=crc(9023b26d!=19ecfe44);__stack_chk_fail=crc(d272d446!=f0fdf6cb);memset=crc(110f4d3a!=dcb764ad);_printk=crc(16b5b21d!=92997ed8);mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd)
cfg80211,cfg80211,device/oneplus/infiniti-kernel/cfg80211.ko,misc,1,0,195,0,0,0,1,194,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,system_wq=crc(571c73d5!=2d3385d3);queue_work_on=crc(8f4cd990!=c5b6f236);__cpu_online_mask=crc(4e994f70!=ac594e02);preempt_schedule_notrace=crc(d272d446!=f70e4a4d);jiffies=crc(f2a4b08a!=15ba50a6);__stack_chk_fail=crc(d272d446!=f0fdf6cb);rtnl_is_locked=crc(7851be11!=85670f1d);__warn_printk=crc(1127e91b!=56470118)
charger-ulog-glink,charger_ulog_glink,device/oneplus/infiniti-kernel/charger-ulog-glink.ko,charger,1,0,35,0,0,0,4,31,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);devm_kmalloc=crc(d1263f9d!=9601551a);__mutex_init=crc(81d49dc6!=a571f6b0);__init_swait_queue_head=crc(d4e429b7!=608741b5);delayed_work_timer_fn=crc(b0f9b474!=ffeedf6a);init_timer_key=crc(534026f3!=c6f46339);pmic_glink_register_client=crc(b0110b62!=c34db291)
clk-dummy,clk_dummy,device/oneplus/infiniti-kernel/clk-dummy.ko,misc,0,0,16,0,0,0,0,16,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);of_property_read_string=crc(fc9f25c0!=27bdd89b);devm_kmalloc=crc(d1263f9d!=9601551a);devm_clk_register=crc(c7d38f09!=53b21af5);_printk=crc(16b5b21d!=92997ed8);devm_reset_controller_register=crc(be6e8a92!=74cfd2c7);pm_genpd_init=crc(921fd077!=9c46e1f9)
clk-qcom,clk_qcom,device/oneplus/infiniti-kernel/clk-qcom.ko,misc,0,0,179,0,0,0,2,177,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,regmap_write=crc(8b1835dc!=eab872a6);regmap_update_bits_base=crc(807ee877!=1ac5d5d4);regmap_read=crc(23aa8f00!=61488f9c);__const_udelay=crc(b7d17430!=eae3dfd6);usleep_range_state=crc(fdbae8c6!=c3055d20);__stack_chk_fail=crc(d272d446!=f0fdf6cb);_printk=crc(16b5b21d!=92997ed8);clk_hw_get_name=crc(e2b77b90!=b4444c91)
clk-rpmh,clk_rpmh,device/oneplus/infiniti-kernel/clk-rpmh.ko,misc,0,0,21,0,0,0,0,21,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,__platform_driver_register=crc(26d0cf2d!=dda9df08);platform_driver_unregister=crc(8af50346!=3af3024b);mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd);rpmh_write_async=crc(226c0915!=65fddcb3);rpmh_write=crc(226c0915!=5c3a9bab);_dev_err=crc(6b10178d!=89c10d29);__warn_printk=crc(1127e91b!=56470118)
clk-scmi,clk_scmi,device/oneplus/infiniti-kernel/clk-scmi.ko,misc,1,0,12,0,0,0,0,12,mismatch(e976b219!=38f960dd),load-fail-module-layout,load-fail-crc,scmi_driver_register=crc(fe9b3693!=d6aa91f0);scmi_driver_unregister=crc(02bfc607!=240793d7);devm_kmalloc=crc(d1263f9d!=9601551a);devm_kfree=crc(963fe25e!=36aa809e);devm_clk_hw_register=crc(93b85846!=2e3bdf59);clk_hw_set_rate_range=crc(da8aac63!=d0843214);_dev_err=crc(6b10178d!=89c10d29);of_clk_hw_onecell_get=crc(d80b2e10!=7e2770a0)
